aded,trump,johnson,clinton,stein,total,winner
33015,118,7,371,7,532,clinton
33016,7,0,104,1,120,clinton
33017,130,4,523,8,708,clinton
33018,159,11,518,6,728,clinton
33019,150,3,564,11,780,clinton
33020,120,5,572,4,746,clinton
33021,67,4,464,7,568,clinton
33022,67,7,433,9,548,clinton
33023,50,1,647,4,743,clinton
33024,89,2,697,6,837,clinton
33025,89,5,613,3,749,clinton
33026,51,1,415,6,521,clinton
33027,80,6,535,4,666,clinton
33028,62,3,559,5,664,clinton
33029,22,3,664,7,741,clinton
33030,14,0,655,8,719,clinton
33031,12,2,645,8,714,clinton
33032,17,0,677,5,757,clinton
33033,8,1,652,5,722,clinton
33034,16,1,624,0,697,clinton
33035,11,0,639,4,707,clinton
33036,16,4,646,9,733,clinton
33037,12,2,629,12,692,clinton
33038,19,3,575,3,646,clinton
33039,13,0,525,2,570,clinton
33040,22,2,463,2,519,clinton
33041,18,1,595,10,680,clinton
33042,16,2,611,2,655,clinton
33043,23,1,527,8,603,clinton
33044,25,1,610,3,688,clinton
33045,13,1,715,6,796,clinton
33046,18,3,693,7,763,clinton
33047,11,1,537,5,594,clinton
33048,25,1,629,6,719,clinton
